gene_name,gene_type,funct_category,VFCIXPIL,VFOMMDIS,VFQUISP,VFCIXIUS,VFTETHEX,VFBLASP1,VFCALBON1,VFISSKAZ,VFLIBAN,VFDESRAP,VFASICLA,VFHYALUT,VFTRYOCC,VFBRUOCU,VFTETSUL,VFBRUSP1,VFCEDSP1,VFDICMUL,VFPARIOC,VFLACSP,VFMEETHA,VFDICEUR,VFCALKRU,VFTETIMP,VFMELPLA,VFPITSP,VFLOPSAC,VFORGSP,VFLYNSP,VFPYRCLA,VFTETMAC,VFVIZSP,VFCOTACU,VFOECSP1,VFBRI,VFPARPLA,VFKELVIT,VFOLIH,VFSTELAU,VFPYRVIR,VFPROSP,VFPINALT,VFZOPTEN,VFPYRLAN,VFIDISP1,VFIND2,VFKELRIB,VFMEEMAD,VFISSCOL1,VFMYCCUN,VFRANEDI,VFMEESKO,VFOMMLON,VFBEB,VFOMOUHL,VFPENROR,VFMALBOS,VFSCODIS,VFAKOQUE,VFSACSP1,VFPENVAR,VFUGYOPS,VFAGAHAV,VFUGYLON,VFCIXNER,VFBLASP2,VFRANSCY,VFSTEMIN,VFMEEALB,VFDICPAN5,
rpmI,Protein,translation - ribosomal protein,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Putative,Absent,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,
hisI,Protein,Biosynthesis-Histidine,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
mnmE,Protein,Transcription - tRNA processing,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Pseudogene,
grpE,Protein,protein folding and degradation,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Functional,Functional,
xxxVFOMMDIS02,Protein,not_yet_classified,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxxDICPAN02,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,
xxxVFLOPSAC09,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
carB,Protein,Biosynthesis-Arginine,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Pseudogene,
metF,Protein,tetrahydrofolate interconversion,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFOMMDIS03,Protein,not_yet_classified,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rplK,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFOMMDIS06,Protein,not_yet_classified,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
dnaK,Protein,protein folding and degradation,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxDICPAN01,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,
xxxOLIH01,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxxVFPARIOC04,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxxVFVIZSP08,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,
xxxVFBLASP02,Protein,,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,
lpd,Protein,Oxidoreductase,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
gltX,Protein,Translation - aminoacyl-tRNA synthetase,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,
thrA,Protein,Biosynthesis-Threoinine/Lys/Met,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Putative,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,
hisF,Protein,Biosynthesis-Histidine,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Pseudogene,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rplF,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
thrB,Protein,Biosynthesis-Threoinine,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Pseudogene,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
era,Protein,Translation - ribosome biogenesis,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Pseudogene,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,
rpmA,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFUGYOPS03,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,
rps2,Protein,translation - ribosomal protein   ,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rplO,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
tilS,Protein,Translation - aminoacyl-tRNA synthetase,Functional,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Functional,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Absent,Functional,
xxxVFUGYLON02,Protein,,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Absent,Functional,Absent,Absent,
xxxVFLOPSAC06,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rpoB,Protein,Transcription,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Pseudogene,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
tufA,Protein,Translation,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFQUISP06,Protein,not_yet_classified,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rpoC,Protein,Transcription,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
tsaD,Protein,,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,
xxxVFUGYLON06,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,
rpmJ,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFQUISP01,Protein,not_yet_classified,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
dnaQ,Protein,DNA replication,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFMALBOS04,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
erpA,Protein,Metabolism - iron-sulfur cluster biosynthesis,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rpsM,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
